player,team
Rowan Marshall,STK
Tristan Xerri,NTH
Harry Sheezel,NTH
Max Gawn,MEL
Lachie Whitfield,GWS
Dayne Zorko,BRL
Adam Treloar,WBD
Zach Merrett,ESS
Errol Gulden,SYD
Sam Flanders,GCS
Josh Dunkley,BRL
Marcus Bontempelli,WBD
Nic Martin,ESS
Jack Steele,STK
Sam Walsh,CAR
Zak Butters,PTA
Jordan Dawson,ADE
Isaac Heeney,SYD
Nick Daicos,COL
Tim English,WBD
Andrew Brayshaw,FRE
Noah Anderson,GCS
Caleb Serong,FRE
Nic Newman,CAR
Luke Ryan,FRE
Matt Crouch,ADE
Jack Sinclair,STK
Lachie Neale,BRL
Toby Nankervis,RIC
Patrick Cripps,CAR
Tom Green,GWS
Rory Laird,ADE
Nasiah Wanganeen-Milera,STK
Hugh McCluggage,BRL
Brodie Grundy,SYD
Connor Rozee,PTA
Jordan Clark,FRE
Jarrod Witts,GCS
Darcy Cameron,COL
Luke Davies-Uniacke,NTH
Tim Taranto,RIC
Josh Kelly,GWS
Josh Daicos,COL
Jye Caldwell,ESS
Max Holmes,GEE
Dan Houston,COL
Matt Rowell,GCS
Chad Warner,SYD
Touk Miller,GCS
Hayden Young,FRE
Bailey Dale,WBD
Dylan Moore,HAW
Darcy Parish,ESS
Kieren Briggs,GWS
Reilly O'Brien,ADE
Elliot Yeo,WCE
Ollie Wines,PTA
Christian Petracca,MEL
Jason Horne-Francis,PTA
Liam Duggan,WCE
Blake Acres,CAR
Lloyd Meek,HAW
Tom De Koning,CAR
Tom Stewart,GEE
Tom Liberatore,WBD
Jack Viney,MEL
James Sicily,HAW
Karl Amon,HAW
Ed Richards,WBD
Tim Kelly,WCE
Brent Daniels,GWS
Jai Newcombe,HAW
Jordan Ridley,ESS
Oscar McInerney,BRL
Willem Drew,PTA
Lachlan Sholl,ADE
Gryan Miers,GEE
James Rowbottom,SYD
Jarrod Berry,BRL
Andrew McGrath,ESS
Dom Sheed,WCE
Jeremy Cameron,GEE
Mason Redman,ESS
Daniel Rioli,GCS
George Hewett,CAR
Jack Crisp,COL
Sam Durham,ESS
Mitchell Hinge,ADE
Mason Wood,STK
Zac Fisher,NTH
Jacob Hopper,RIC
Colby McKercher,NTH
Will Ashcroft,BRL
Nick Blakey,SYD
Trent Rivers,MEL
Harry McKay,CAR
Xavier Duursma,ESS
Luke Parker,NTH
Jordon Sweet,PTA
Nick Vlastuin,RIC
Jason Johannisen,WBD
Will Setterfield,ESS
Tom Mitchell,COL
Jayden Short,RIC
Harry Himmelberg,GWS
Jeremy McGovern,WCE
Christian Salem,MEL
Bailey Scott,NTH
Jordan De Goey,COL
Izak Rankine,ADE
Patrick Dangerfield,GEE
Ed Langdon,MEL
Scott Pendlebury,COL
Alex Neal-Bullen,ADE
Justin McInerney,SYD
Tom Powell,NTH
Luke Jackson,FRE
Jack Bowes,GEE
Liam Baker,WCE
Kane Farrell,PTA
George Wardlaw,NTH
Connor Macdonald,HAW
Massimo D'Ambrosio,HAW
Sean Darcy,FRE
Jarman Impey,HAW
Clayton Oliver,MEL
James Worpel,HAW
Mitch Duncan,GEE
Lachie Ash,GWS
