player,team
Shane McAdam,MEL
Samuel Cumming,RIC
Zane Duursma,NTH
Samuel Grlj,RIC
Harry Sharp,MEL
Harry Schoenberg,WCE
Thomas Edwards,ESS
Harry Armstrong,RIC
Sullivan Robey,ESS
Jayden Nguyen,ESS
Jacob Farrow,ESS
Hugh Bond,ADE
Xavier Taylor,MEL
Ollie Lord,PTA
Sid Draper,ADE
Latrelle Pickett,MEL
Wil Parker,COL
Dyson Sharp,ESS
Harvey Harrison,COL
Harry Kyle,SYD
Tom Campbell,MEL
Archer Day-Wicks,ESS
Oskar Taylor,GWS
Finlay Macrae,WCE
Ben Jepson,GCS
Lachy Dovaston,NTH
Josh Dolan,WBD
Lance Collard,STK
Lachlan McAndrew,ADE
Jai Murray,GCS
Reef McInnes,COL
Beau Addinsall,GCS
Josh Lindsay,WCE
Jordon Butts,ADE
Oliver Wiltshire,GEE
Aidan Johnson,MEL
Shadeau Brain,BRL
Bailey Laurie,MEL
Jai Serong,SYD
Matthew Jefferson,MEL
Cameron Nairn,HAW
Jesse Dattoli,SYD
Zac Banch,NTH
Lachlan Carmichael,WBD
Harrison Ramm,PTA
Cooper Hynes,WBD
Mitchell Marsh,ADE
Tom Cochrane,PTA
Ty Gallop,BRL
Aidan Schubert,HAW
James Leake,GWS
Oscar Adams,GCS
Harley Barker,GEE
James Tunstill,BRL
Adam Sweid,FRE
Blake Thredgold,NTH
Bo Allan,WCE
Louis Emmett,WBD
Avery Thomas,GCS
Caleb Graham,GCS
Rhys Unwin,ESS
Sam Allen,WCE
Josh Goater,NTH
Thomas Matthews,MEL
Deven Robertson,WCE
Josaia Delana,GWS
Ryan Gardner,WBD
Callum Coleman-Jones,NTH
Oscar Berry,MEL
Billy Cootee,SYD
Luke Beecken,BRL
James Blanck,HAW
Jack Watkins,PTA
Judson Clarke,RIC
Josh Gibcus,RIC
Caleb Lewis,GCS
William Edwards,SYD
Harry Barnett,WCE
Jakob Ryan,COL
Michael Sellwood,WBD
Toby Murray,ADE
Liam Fawcett,RIC
William McCabe,HAW
Tyler Welsh,ADE
Bodie Ryan,HAW
Jacob Newton,WCE
Benny Barrett,PTA
Noah Howes,COL
Oscar Steene,COL
Hugh Davies,FRE
Jaren Carr,FRE
